Name,Platform,Total_reviews,Scraped_reviews,Quote,Score,Date,Author,Spoiler
Assassin's Creed Valhalla,PlayStation 5,529,500,"Outdated and clunky animations, bad AI, PS5 upgrade its not worthy, a huge downgrade from Odyssey and Origins, boring story, boring characters, dull sound, really, the sound it's very very bad, stealth it's non-existent. I really don't understand all the 10s from other accounts, this game it's not good. If you want very good, fun combat and stealth, you should try Ghost of Tsushima instead.",5,2021-08-22,LoudMusic,False
EA SPORTS UFC 4,PlayStation 4,322,322,"Save your money, wait for a sale and for the game to be patched up. Coming from the well polished UFC3, this is a let down. The striking is worse, the ground and pound is atrocious and controls like hot garbage, the submission system is annoying and  somehow even worse than UFC 3's gate system. The career is boring, although  improved from UFC 3. It still suffers from boring AI. On a competitive level the game seems to promote spamming of every kind, striking, takedowns, and submissions.",0,2020-08-18,hugh-jaynis,False
Astro's Playroom,PlayStation 5,627,500,"For a free-to-play, PS5 pre-installed game, this little game has a surprising amount of content and challenges to do. The PS5 dualsense controls are on full-display here and make for an extremely enjoyable time. Both me and my daughter who was watching me had a massive smile on our face throughout the entire playthrough.

This would easily be worth the $5-$10 I would be willing to spend on this but the fact that it's free makes it an even better value. The game itself is great with cute characters, great gameplay and mechanics, and fun environments that are designed very well. Finding every little nook and cranny and grabbing every trophy for platinum is the most fun I've ever had with grabbing a platinum. Definitely worth playing with your PS5",9,2023-04-03,MetaBones,False
Freedom Wars,PlayStation Vita,60,60,"Aside from some minor performance issues that were very rare, some online missions being tough before the servers shut down, and very infrequent glitches, this was a perfect game that flew under a lot of people's radars. The single player narrative is excellent, the soundtrack is one of the best ones I've ever heard in a game, and the idea of progressively getting abilities back made me keep coming back for more. The weapon variety makes it so there is a lot of options for players, and the customization for your character is some of the best in a game. The world is very intriguing, and the characters are very colourful and dynamic. Sadly, with the online servers being shut down, getting the platinum now might be very difficult, but it was incredibly satisfying when I got it.",10,2023-10-07,Igl00Man,False
The Last of Us,PlayStation 3,2857,500,An absolute master piece. Such an amazing gaming experience. This is a must be for any PS3 owner. This  is the reason to buy a PS3 even with the new generation of consoles coming out it's that damn good.,10,2013-06-16,CMRoach,False
Persona 3 Reload,PlayStation 5,218,218,"This is honestly the best game I have ever played in the last 2 years, persona 3 has a beautiful message attached to it and I'm happy that they kept that in this remake.
Common Atlus W",10,2024-02-08,Matoi7078,False
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,PlayStation 4,963,500,"Гениальная игра от гениальных разработчиков, наконец-то годный платформер, с хорошим сюжетом, Геймплеем и графикой, Спанч боб не гей кстати",10,2020-06-24,Acegunne,False
Call of Duty: Modern Warfare,Xbox One,468,468,Best game. Russian gamers destroyed rating this game. They don't understand situation with russian army.,10,2019-11-09,xcrime,False
"Pokemon: Let's Go, Pikachu!",Nintendo Switch,732,500,"Game's a blast, awesome remixes, got rid of major annoyances like random encounters and the need of a HMO slave Pokemon.
Very fun and totally recommend to anyone old and new to the series.",10,2018-11-19,Darkcatk,False
Tom Clancy's Ghost Recon: Breakpoint,PC,449,449,"Wow, bow-wow ****.  Save your money, this is a micro-transaction milking grind fest **** with a beautiful rendered but totally lifeless world.  For PvE, enemy AI is just atrociously bad, worst I have ever seen in a game except maybe Diakatana (dating myself).

Save your money, DO NOT BUY THIS GAME.",1,2019-10-09,Jjackattack,False
Sonic Frontiers,Xbox One,97,97,"This game is more than a step into right direction, although the artstyle does not feel right but with additions that the updates bring in, this game is really good.",8,2024-06-28,Mhossein1384,False
The Evil Within,PlayStation 4,484,484,"I went in with high expectations and to put it briefly...I overall enjoyed it, but was below my very high expected 9.5/10.

The game tries to be a psychological mind bender, making you question the reality of the situation and makes you wonder what could come next.

The Bad first (everything is subjective to taste):
- You die...ALOT. Sometimes you just want to move forward.
- I'm absolutely not a fan of black bars
- 30fps give it a slow paced feeling as it should be, but frame rates easily drop when this is done.
- Confirm too frequent frame rate drops, but this can be easily fixed in future updates.
- Graphics are no where as good as I hoped.
- Story not well explained most of the time, or at least don't explain who is who and why.
- movements feel sluggish at times where accurate stealth movements are necessary.

The good:
- You die...ALOT. This is a bad and a good thing. The replay ability of each level doesn't feel frustrating, but much more a challenge for you to go back and try **** different ways all the time.
- Great horror atmosphere and very nice first Chapter. I don't want to spoil more..
- (SPOILER) Love the Silent Hill 2 reference with the look of the nurse when in the save game dreams.
- Each level is unique in its own way with always something intriguing to look forward to. Most of the time.
- This game is a survival horror. You will feel exactly that when playing it. You are surviving. THAT is something many games don't have anymore.

You make one wrong ****, you're dead. It isn't a perfectionists game, but it requires planning and thinking on how to proceed forward in each level. You will make full use of your environments and once you learn the tricks you will enjoy the game to the fullest.

I expected a better told story, better graphics without those dreadful black bars that remove 2 thirds of my screen space (literally). Improve the controls, make the bars a choice and improve the frame rate.

Overall you will enjoy the game. It isn't the best, but it is FAR from the worst.",8,2014-10-14,SlasherX,False
Evolve,PlayStation 4,295,295,"There is only one thing to say about Evovle: do you have 3 or 4 friends to play co-op online with a mic?

If you are at least 3, the co-op experience is outstanding because the different hunter classes work hand in hand. The hunting gameplay is refreshing for the FPS genre and nothing beats hunting a monster with a few mates!
That being said, if you're looking to play online by yourself without mics well in my opinion this game is pretty much unplayable and can be very frustrating (unless you're playing as the monster of course).
So if you're looking at playing this game with a group of mates, do not hesitate, you'll have a blast. Otherwise, I would stay from this game.",8,2015-03-25,atmosfear10,False
Mad Max,PlayStation 4,437,437,"Just awesome! It's simple, fun, beautiful and brutal! That's everything I was expecting from this game. The combat is a bit limited and simple, but I don't think it's a negative point. It's easy to handle and it's very satisfying to feel Max punching the enemies. I really liked the animations in the game, contrary to what most people are saying. Max in this game is not a super hero, or a super soldier, he is a really very tough guy, that runs and fights the way he knows how to do it, and I think the game shows it perfectly! The car driving in the beginning was a little difficult but quickly I got used to it. For me it's a 10 cause I bought this game to have fun in the Wasteland with one of my favorite movie characters of all times, and I never expected too much of the story, if it is good, it's gonna be a bonus, if it's not, perfectly ok for me. For me, this game being repetitive is not a bad thing, because I have lots of fun playing it!",10,2015-09-02,GuTarpinian,False
Children of Morta,PC,77,77,very good an very good story and gameplay it hase lots of abilites and very long skill tree,10,2021-11-24,TheMrezajewel,False
Dead Rising,Xbox 360,71,71,"A unique and very special game. I'm glad Capcom dared to make such a fun zombie sandbox with time mechanics. The charisma of all the characters and the dye of series B, make a super fun game. The music, the physics and the design of the shopping center reflect the care that the team put into designing the product. It's a shame that the series became generic and soulless and that they finally canceled the saga. I hope that Capcom one day recovers the saga, but that it does it with the standards it deserves and that it doesn't treat it as a minor product, because in its day it wasn't",10,2023-07-08,drseven,False
Dark Souls III,PC,607,500,"A game that is challenging yet dosent seem like its BS'ing you all the time, Has amazing graphics yet dosent require a super computer to run. i will say this game is nearly perfect i had 1 lag spike in 70 minutes and that was running on my Laptop with intel core i5 5200U Nvidia geforce 930M and 8gbs of DDR3 Ram on Ultra. the controls are also very fluent with an Xbox One controller but K+M isnt to great i cant wait to finish this game as im loving it so far it actually challenges me when other games i just breeze through very fun game and is one of this years strongest Games!",10,2016-05-29,Gamer3k,False
Assassin's Creed Unity,PlayStation 4,748,500,"The cons:
- The framerate is choppy at times (20fps on very rare occasions, feels much more like 30 most of the time) but not unplayable at any stage, most likely down to the amount of characters on screen at once, hopefully this gets fixed soon.
- Theres quite a few funny glitches and bugs and few that get you stuck on collision and on a few occasions fell through the world, fast travel usually fixes it.
-Graphics fall short when atop buildings and having the vista of paris and all it's complexities.

The pros:
- Combat is actually harder, the sweet spot for countering is tighter and the animations from enemies are less suggestive, you have to really be on your toes and use your full arsenal.
- Fresh setting with the best interiors seen in a third person game.
- Movement is the most fluid out of all of the creed games.
- Ascend and descend style of free-running which makes far more sense when getting up to those sync points and wanting to come down fast.
- Removed the factions, they were fluff in the past games with injected unnecessary story, they made the game feel very arcady.
- Enemies don't follow you across rooftops but have improved chasing skills on the ground, gives a lot more purpose to rooftops.
- No more instant win with calling assassins out of no where.
- Coop is AMAZING, think splinter cell chaos theory but with roles for each assassin, I just wish they were harder than they currently are.
- Customisation is one of the biggest pluses in this game, you have such a huge array of options, head, chest, waist, hands and legs along with all the different types of weapons.
- Turn off any HUD element (which can be most of them once you get used to the game).

The verdict:
Wait around a month for all the bugs to smooth out as it appears that most people overly care about this.
This game is a MUST HAVE in the assassin's creed franchise, it's the most thought out and best designed one since 2. (I prefer it to 2).",10,2014-11-17,Jestersheepy,False
Assassin's Creed Valhalla,PC,1005,500,A versy stupid and repetitive story with some good side quests and characters. Combat and parkour are too heavy and borin on a large scale of time. It's an ok game but will be dissapointed for people that love Odessey.,7,2020-12-20,Soularry,False
Tom Clancy's Ghost Recon: Breakpoint,PlayStation 4,520,500,This game has a lot of problem one of them is most of the game is copy paste and the boss in this game you can kill them without even knowing the only thing that make me give it 2 is because i a little fun playing it with friend without friend it is ****,2,2019-11-10,Hmody10087,False
Donkey Kong Country: Tropical Freeze,Wii U,191,191,"I was a huge fan of DKCR and I really wanted to like this game, but I just couldn't.  The load times, as others have said, is bad, but they would be tolerable if the rest of the game ran smoothly--it doesn't.  Controls feel heavy and unresponsive.  Action-intensive areas are laggy.  The visuals themselves are stunning, but unfortunately I think the Wii U is just not up to the task of rendering them smoothly.

I tried to get into this game 3 times but couldn't get over how muddy it feels.  Perhaps if they port it to the NX, I'll give it another shot.  But my other concern is the poor level design.  Levels were much too long with too much emphasis on exploration that leads nowhere (e.g. water areas where you just collect bananas).  But maybe with the bump in gameplay speed/lack of lag will make it feel better.  Just can't recommend this game and regret purchasing at full retail.",0,2016-06-05,TheAdjuster,False
The Outer Worlds,Xbox One,316,316,"Ótimo roteiro, e bons gráficos The Outer Worlds nasce como um dos melhores jogos do ano",10,2019-10-27,GuilhermeCursi,False
Pokemon Moon,3DS,146,146,"Same I said for Sun, except in Moon you also get the twist of the changed time of the day: it's inverted, so if you like playing at night but enjoy seing the game in its day or vice-versa, pick Moon instead of Sun. Other than it, greatness everywhere. Great new pokemon each with their own lore, top-notch story  etc. This game surpass ALL of your expectations and goes beyond and Team Skull is THE best team in the entire series, even through if you play it, you'll know the true villains are elsewhere.",10,2017-12-14,Angulaureon,False
Final Fantasy XIII,Xbox 360,129,129,"What. The. Heck. Is. This.

How has Final Fantasy not figured out dialogue and voice acting yet?  This is AWFUL and almost impossible to want to listen to.

This game as only two things going for it but little things even destroy the good stuff
1) The graphic design is creative, colorful, and big which is fun to look at
BUT the characters ****, you can't explore, its one big hallway all the time

2) The fights are fun and changing strategy on the fly is entertaining
BUT I don't like being judged by stars and rushed to finish fights quickly; after a good amount of leveling, characters individual fighting identity becomes really muddled as everyone can almost do any strategy, getting weapons **** because its a crapshoot knowing which weapons to upgrade; knowing what strategy to use against an enemy the first time you see it can be life or death without the ability to scout it first and bosses are one giant guessing game the first time around

The story is probably good and possibly deep but it's written like it is meant to be a 2nd graders lullaby.
I was insulted by its simplicity and the whole thing feels like I have no control over any of it

What a disappointment after previous installments. Square Enix goes from ground breaking to  grounded and out of ideas",2,2013-08-07,EddieHokie,False
Bayonetta,PC,128,128,"The Combat in this game is phenomenal, challenging while extremely fun.
Enemy variety is extensive and unpredictable, Bayonetta is a lovable Sassy character.
There were a lot of interesting sections, for example riding a bike on a motorway and fighting on top of trucks.
The Platforming elements are fun and the Music is great.

This has made me view PlatinumGames with renewed interested and will be looking forward to their future games on pc.

This game is easily worth the price and i highly recommend it.

There is a 60 fps cap, but overall it's a good port.",10,2017-06-28,ThatUDLegacy,False
Mass Effect 2,PC,640,500,"This is one of if not the best game I have ever played. Loved the first Mass Effect but this is one has everything going for it imo, story, action, choices etc etc.",10,2012-03-13,Holo_Benkai,False
Psychonauts 2,PC,311,311,This is simply a great game! Sad people have to review bomb it for no apparent reason! Metacritic NEED to have a better system to avoid this! The real score is what the critics score is!!!,10,2021-08-27,whitestafrican,False
Sid Meier's Civilization V,PC,597,500,"Disappointing, but not bad or unplayable. Due to the weird AI, you can always go all military and have some fun for a while. The multiplayer? Doesn't work. It would be actually a really good game if you could have offline player vs player games.",7,2011-11-29,loloynage,False
Call of Duty 4: Modern Warfare,PC,424,424,"Masterpiece. I love call of duty games with this game. Graphics, story, dynamics, all of them are perfect.",9,2023-01-11,ProffHarun17,False
The Sims 4,PC,989,500,This game is probably worth 25 dollars and I would still not buy it since its missing their core features. EA needs to stop doing **** like this only to put it as a **** dlc.,0,2014-09-05,rickyreyna,False
Sea of Thieves,Xbox One,856,500,"ANOTHER Xbox One Exclusive disappointment! Ugh, I wish it weren't so.  Microsoft has been struggling this console generation on this front compared to the exclusives for the 360.  It's too bad too, since it has the most powerful system (Xbox One X).  But I have both systems this generation and prefer the PS4 exclusives and Trophies over Achievements, so I'm stuck with a glorified 4K Blu Ray player.  Sorry this review wasn't about the game itself, I'm just venting my frustration after playing this.",5,2018-03-22,Rwmfilm85,False
LEGO Star Wars: The Skywalker Saga,PlayStation 5,146,146,"The best Lego game ever made, the attention to detail is astounding and this is easily the biggest and best Lego game ever. it's larger then TFA, it's larger then LMSH2, it's larger then DC Super-Villains, if you want me to be honest nothing else comes close when it comes to Lego games, nothing.

TT really outdid themselves this time, reworked and balanced combat system, saber, blaster, and hand-to-hand combat has never felt better.

Mountains of quests for every era, far and away one of their biggest rosters of all time, if not the biggest roster they've ever done.

Tons of planets to explore, each of which are large and expansive with many different zones and areas.

It never outstays it's welcome like a lot of other Lego games, main quests are quick and to the point, no convoluted puzzles that'll leave you scratching your head for like 20 minutes trying to figure out what to do.

The voice-acting is a bit... off in places, but besides that it's phenomenal and done very well, made me and my nephew laugh very hard at points. My only other complaint is a personal one and that's that they didn't include more expanded universe content, only stuff from shows and movies, would've liked to see RC-1138 AKA Boss from Republic Commando, or Revan from KOTOR, since this may well be the very last Star Wars outing we'll see from TT it would have been great to see a lot of those characters.

Either way, this turned out to be phenomenal, congrats to TT, and thank you for all the work you put in. The series you started on ended on the highest note possible.

10/10 experience, even if you aren't a Star Wars fan, please pick it up, it's pure fun.",10,2022-04-09,Gigglu,False
Star Wars Jedi: Survivor,PC,379,379,Most performance issues are now resolved. Apart from a certain boss fight this is a fantastic game!,9,2023-07-20,Svarcadusk,False
The Surge 2,PlayStation 4,69,69,Awesome game if you enjoy the first game you will love this worth buying playing on PS4 pro,10,2019-09-27,Smithys35,False
Deus Ex: Human Revolution,PlayStation 3,168,168,"I was really trying to love this game--but some of the design choices go against the whole idea of fun---I think the atmosphere and mechanics are great---but for being a 1st/3rd person shooter the shooting isn't very good---ammo seems to be hard to come by---enemies seem to have plenty of ammo while you are stuck with the left overs---and sometimes they don't even have any ammo---the bosses are ridiculously hard--and seem to just run at you--which the same thing could be said for the generic enemies---if you alert anyone they just run at you and shoot the **** out of you--there's really no chance to ""shoot""  in this FPS--    There are lots of things I like in this game--but there is way more that I dislike---also the repeated restarts at checkpoints bother me most---if I can't play through a level without having to ""load from checkpoint"" an obscene amount of time--there are definitely issues-- this is definitely a game that will make you rage quit.",5,2011-09-07,EBGeer,False
Insurgency,PC,188,188,"Great game. Buy it. All that has to be said. But seriously, for £10 you are buying a first person shooting experience like never before. Best shooter of this year.",10,2014-01-23,AdamefcSmith,False
Chrono Trigger,DS,172,172,"Easily one of the most influential games ever created, and one of the only titles that competes with final fantasy for recognition amongst the best jrpg games.",10,2017-10-24,aditya1101,False
Star Trek The Video Game,Xbox 360,126,126,It lacks at everything it should succeed at. it barely compares to the games released now. the mini games don't get any more difficult and only become a pain to do in the future.,0,2013-04-25,MasterPuwnage,False
Mass Effect,PC,431,431,"To begin with let me tell you the following: I played both the Xbox and PC versions and I can tell you, must tell you to get a 360 controller for your PC to play it. Mass Effect has been designed to be controlled with a game pad.

The game looks fantastic; I got it running at 1280x768 px in full-screen mode -all settings in medium and no dynamic shadows- on a AMD Phenom II X4 920 at 2.80 GHz with 4 GB of RAM and a Nvidia GeForce 210 card with 1Gb of DDR2 RAM. I only experienced some hiccups when the engine threw at me lots of fogging and heavy water effects. If your computer is even worse than mine, you can drop the resolution to 1024x768 on the windowed mode and it'll do pretty good. For a 3 year-old game it still looks amazing: water surfaces, reflections, textures and the lightening are terrific.

The gameplay is reminiscent of Gears of War with RPG elements thrown in as our squad members can access their abilities either passively by means of battle menu or actively using the keyboard short-cuts. We control commander Shepard that can either be female or male and whose face we can design to our own liking; Shepard is the only character we can fully control as the rest of them, members of our squad, are semi-automatic. Our active squad is composed by three party members and they can be ordered to move forward, backward, attack or defend and we can also access their skills through the passive battle menu. These skills come in the form of biotic powers, mainly telekinetic abilities such as pull, push, force shield and space distortion: biotics are Mass Effect's gameplay core and a lot of fun. Apart from shooting and using biotic skills in a back third person perspective there are several missions that require vehicle driving and shooting: the Mako. These missions usually are pretty straight-forward however fun; the Mako is equipped with a rail gun and a cannon and both will heat and shut down temporarily after repeated and heavy use: the Mako will also take damage that can be repaired using omnigel paks. The Mako will also serve to explore the different planets that will be visited, on which resources and secrets can be found to progress the story, unlock features and improve the equipment. There are more RPG elements than using biotic powers, weapons and armours can be purchased and upgraded and the game is heavily scripted as well with multiple conversation choices to pick leading to different results.

Even though I suggested getting a console controller to play it, using the keyboard-mouse combination has its advantages because we can assign more than two buttons to the special abilities. The mouse is used to target and move the camera around as well as the Mako turret, the left button is for shooting and the right button is for precise targeting. The space bar is for bringing up the passive battle menu and the shift key for running like in Gears of War. Fortunately, the control setup allows mouse inversion and tweaking for all the key assignments.

The sound quality of the game is really good but not impressive overall however its voice acting is terrific and this is where this aspect of the game shines.

The musical score is futuristic and serves its purpose wonderfully yet it is not memorable with the exception of the end-titles song.

The story is really engaging and well written with several plot twists. Each team member has their own and we get to know them by means of the several conversations available through the course of the game. The best part of the scripting is how much detail Bioware put into the universe to make it plausible: they went to the extent of adding an encyclopaedia with all the game scientific and biological terminology as well as planetary information and entries on the alien races' civilizations. There is so much thought put into this universe unlike most of the other sci-fi games released except the Xenosaga series, which is even more complex. The whole universe sustains itself in a wonderful and believable way thanks to the writer's wit that allowed them to come up with technology and scientific concepts not far away from our current reality and what we might consider possible.

The art is not impressive in a complicated way: its functional, it suits the universe and serves to sustain the fictional world of the script yet it is not original. Some planets are beautiful and breath-taking and the Normandy has been wonderfully designed. There is a lot of simplicity put into the art design that fortunately highlights the overall impression rather than making it dull nonetheless most planetary surfaces and facilities are repetitive with the same type and distribution of elements within them.

All in all, Mass Effect is one of the best games ever released: it has wonderful graphics, a fantastic voice acting, entertaining gameplay and a very well written and cohesive fictional world; there isn't much else that anybody can ask for a good game to be good and Mass Effect covers all of these aspects superbly.

Graphics: 10

Control: 8

Gameplay: 10

Sound: 9

Music: 7

Story: 9.5

Art: 8,5

///------TOTAL: 9 [rounded]------///",9,2013-07-28,Palfrei,False
Risen 2: Dark Waters,PC,163,163,"The first half an hour this is a promising game, the graphics seem ok as you are introduced, but once you get really going and introduce combat - the game falls over dramatically. The graphics glitchm the textures clash, the combat is both clumsy and irksome (and boring). Voices are really terrible, plot is hokum. Not an awful game, but not a 2012 AAA release by a long way.",4,2012-10-09,Scritty,False
13 Sentinels: Aegis Rim,PlayStation 4,139,139,"Mechas are ugly
Fan service overload
Story is messy
Battle phase is super ugly

Meh",2,2021-01-17,rexicola,False
Star Wars: Knights of the Old Republic,Xbox,69,69,"This is, by far, the BEST Star Wars game ever made. With a very good story with constant plot twists, the unique option of choosing which path you want to walk, a variety of rich and complex character, going from a simple Republic soldier to an exiled Wookie to even an assassin droid. The combat system is something from a D&D game, with constant d20 rolls, saving rolls, modifiers, and you don't have to worry about all the fancy calculations, as the game does it for you. With endless possibilities on equipment choices, Force Powers, Feats, and stats, this ensures each PC (player character) is unique depending on a player's choices. This game worked for a perfect score, and it got it.",10,2012-06-01,BigD,True
MechWarrior Online,PC,578,500,"Mechwarrior Online is the newest title in the series of Mechwarrior games. It is a Free To Play Game. Unlike its predecssors, it is a pure online PvP game. There is no campaign or story node and no Player vs Enemey combats.
As a mechwarrior game, it is based on the Battletech Table Top game and as a mechwarrior title, it puts you in the position of the pilot of a mighty, heavily armed and armoured war machine fighting together with 11 team mates against 12 others. In the Mechwarrior business, we like to call this ""Big Stompy Robot Fights"".

= Gameplay =
The gameplay is a mix of an FPS (now also with 3PV camera drone mode) and (walking) tank simulator. The controls are on the more complex side of things. You can twist your torso (similar to a tank's turret) seperately from your legs, and you can also move your arms seperately. Mechs consist of multiple hit locations  (like Center Torso, Left Rear Torso, Right Arm etc) with seperate hit points for each location, and each location containing items that will be lost if the hit location is destroyed. The mechs are customizable to some extent in their weapon loadout, armor distrubtion, engine and other equipment, and each mech comes in multiple variants with slight diffferentiation in model or possible loadouts.
You queue up for a match alone or with friends, and the match-maker tries to pit two equally strong 12 man teams against each other on a randomly selected map and with a randomly selected game mode.
There is currently no lobby feature, though there is one announced for the future.

= Character Advancement =
For each match you pla you earn C-Bills and XP depending on your performance (kills, assists, spotting, win/loss). You spend C-Bills to buy mechs, weapons or other equipment, and you can use XP to unlock mech efficiencies (passive buffs to mech stats, like torso twist range or maximum heat threshold before shutdown) and modules (slottable buffs or even active abilities). You start the game only with access to trial mechs, which cannot be customized. You earn bonus C-Bills for the first 25 matches so you can afford your own mech soon.
Overall, the advancement is relatively slow and shallow. The mech efficiencies are the same for every mech, there is only a small number of modules, and if you want to gain all mech efficiencies for a mech, you also have to buy variants of the same mech.

= Long Term Motivation and Metagame =
When the title was announced, community warfare was intended to act as metagame and provide long-term motivation. Community Warfare means you fight for a faction (be it as part of it, as a merc corp, or as a lone wolf) and gain or lose territory for that faction, and earn loyality.
This feature is not implemented yet, so currently, there is very little long term motivations or metagame.
Without any lobbies, there is no easy way to organize player-run tournaments or leagues, though that hasn't stopped players from trying.

= Game Balance =
Being a PvP only title, balance becomes a naturally important topic to players. Without game balance, the many mech build choices are quickly narrowed down to the few good options, and the overall enjoyment drops due to lack of variety and surprises. Be warned that this is one of my ""favorite"" topics and I might be the least subjective here.
The game balance is still not in a good state.
Some of the problems arose from underlying systems.
The heat system (a core component of any Battletech derived game) effectively makes balancing weapon stats much more difficult. The stats for weapons come basically from a game that worked very differently, and so it just won't fit together well. Mech armor values are derived from the table top game, too, ignoring that there is a big difference between randomly rolled hit locaitons and mouse-aimed hit locations (with all FPS typically conceits added in).
There are also technical issues that affect game balance, like the hit detection still not being reliable (sometimes dependent on mech models) and imbalanced hit box sizes.
Personally I am having the impression (impression  fact) that the development team is not prepared to analyize their own game design well enough, and are also a bit unwilling to accept critique or change certain systems due to their own emotional investment in them. (As I said, this part will be very subjective. Make up your own mind, if you're interested enough in the game.)

= Advice =
If you like stompy robot fights, or a battletech fan, check the game out. But the current game is not really worthy  a released title, lacking too many features and still having too many shortcomings. There have been many delays and changes of stated goals (some might speak of broken promises and lies).
I'd carefully consider spending any money on the game in its current state.
Rating is 5/10. It might improve with future features, depending on their quality. (+1.5 for Community Warfare, +1.5 for Balance, +1 for game modes and +1 for advancement)",5,2013-09-18,MustrumRiduclly,False
Assassin's Creed Valhalla,PlayStation 5,529,500,"pretty much decent game with a strong story, level design and graphics. I dont like the Asgard part of the game as it seems bit more like a side story that should have been covered in a separate DLC.
Game have more fps/graphics options on ps5, futher more I really liked the approach UBI soft used to give free next gen upgrade, so even you own a physical disc you can still upgrade a ps4 version to a digital ps5 version for free.",7,2022-09-21,DrSargeX,False
LIMBO,PC,391,391,"LIMBO is the perfect example of how a game can be deep, inspiring and incredibly beautiful with simple gameplay, graphics, sounds and controls.
A masterpiece.",9,2013-10-30,DemKin,False
LittleBigPlanet 3,PlayStation 4,183,183,This game is super fun! I love to play it with my friends and by myself. there's a few bugs with multiplayer but no gamer perfect. So overall i recommend you buy LBP 3 I mean its only 20$,8,2017-11-01,SuperGamerGuy88,False
Wolfenstein: Youngblood,PC,333,333,"Сюжет очень слабый и незапоминающийся. Уровней мало и нужно перепроходить одни и те же локации с одинаковым расположением врагов, чтобы прокачаться.

У игры есть всего 2 плюса: кооперативный режим и приятная графика.",6,2022-01-04,Andrevery,False
Sea of Stars,PC,193,193,"Well designed, engaging, forgiving, strong story, beautiful graphics.",9,2023-09-27,Mcplaud,False
Forza Motorsport 5,Xbox One,290,290,"Muito bom jogo..
Jogo muito fiel a proposta.
Recomendo, boa jogabilidade ...",8,2023-01-30,Formula3,False
Resident Evil 6,Xbox 360,457,457,"I'll begin saying that Survival Horror is my favourite genre, and Resident Evil 1 my favourite game of the franchise (My favourite Survival is Silent Hill 2).
Well, I must say that, being or not survival, I consider RE6 an amazing game.
The story, Music, FX, Graphics and Characters are amazing.
The first time I played the Demo, I thought it was a piece of ****
But that happened cuz I played it thinking I was gonna find a ""Old School Resident Evil"".
Old School resident Evil is dead.
Sad, but true.
I like people to give bad reviews to this game, cuz maybe CAPCOM will see that people wants Survival.
But I can't say a game is bad if it isn't.
I am one of those persons who thinks that ""The Original Rsident Evil style is dead"".
And I must say RE6 is a great game.
Yes, is not a classic RE...
But I don't expect a classic RE.
I expect a great game.
And that's what I found.
It's not a game of 10.
It's a game of 9.
Not a good ""Classic RE"", but the best ""New Generation RE"" and a great game.",10,2012-10-06,CloudStrifeVII,False
Splatoon 2,Nintendo Switch,433,433,No skip option. Bad Connection. Great game play. Its a good game but isn't good enough to be anywhere near perfect.,7,2018-05-17,MrMuffin16,False
Call of Duty: Black Ops II,Xbox 360,999,500,"Not as bad as some people make it seem, but not as good as the reviewers say. Multiplayer has great depth, in terms of customising loadouts, but the gameplay is lacking. Campaign is yet again, another action filled adventure, with some story in it that really didn't get me emotionally attached to it, like some reviewers said it would. If it wasn't for Zombies, I wouldn't give this a 6. Zombies mode has always been a favourite of mine, and this time it's no different, I lose hours upon hours of my life, just playing Zombies. All in all, if you enjoy Zombies more than any other mode, this is a game worth getting. If not, I wouldn't recommend it.",6,2012-11-13,ageofwinter,False
Forsaken World,PC,55,55,"Very similar to Lineage II, but for a free game, not bad. Compared with Lineage II, it seems like many features of the newer MMORPGs have been included, and the races are somewhat different. Grinding and leveling seemed pretty slow, so maybe not too good for casual gamers.",5,2011-07-16,csgrad,False
Alien: Isolation,PC,549,500,"If I was forced to sum it up Alien: Isolation (A:I) in only one sentiment I would say this. We like our sci-fi films to have the best sci-fi in them. In A:I the sci-fi is intense.

From the very start I was deeply impressed. Once I was fully exploring the Savastopol station, I was in awe at the graphics. Settings on full presents visuals out of this world. With good sound equipment like quality headphones the audio is stunning. Technically it is AAA in every way. It's like a movie set, and saying that I am not being pretentious.

Onto the alien. It's scary consistently and I didn't expect that. I guess many of us have read the alien behaviour is not-scripted. This means its path is not pre-determined beyond being made to visit the vicinity you are at. I have heard myself having the thought, ""It's real"", because it behaves in a natural manner. I think once the 'it's real' has passed through your mind you're in a world of fear. On reflection I felt I was in a virtual reality world with a live creature.

I think my main concern about the alien presumably not being killable doesn't really come into game-play. I think the point is that the alien is so fast is that if you try, you only get a couple of rounds off. It is capable of surviving that easily before it gets to the kill.

If you play as I did, moving carefully, those save-points came along just right. Every time I saw a save-point, I got the emotion, ""Oh you beauty."" The achievement of every lever pulled, or item collected or crafted, was safe.

Conclusion: With A:I having other enemies it actually delved into a stealth-shooter experience. However the shooting and using Molotovs and stuff, is massively dispersed with lots of tasks and hiding parts in between.

It took me thirty-six hours to complete. My score rating for A:I is 9.6/10 and the highest I have ever rated a game. I am honestly critical, and will not overlook issues, however A:I didn't present any. The visuals got a little bland in one section and that was all the complaint I could manage. Even when I was hiding under a desk, or in a cupboard for ages I was not bored. I was either watching intently the tracker, loving the graphics around me, or watching an alien.",10,2014-12-31,Neddy,False
